datetime,contractmonth,open,high,low,close,volume
2023-07-07 09:00:00+08:00,2402,66620.0,66630.0,66620.0,66630.0,3
2023-07-07 11:00:00+08:00,2402,66660.0,66660.0,66660.0,66660.0,3
2023-07-07 14:45:00+08:00,2402,66570.0,66570.0,66550.0,66550.0,2
2023-07-07 21:30:00+08:00,2402,66670.0,66840.0,66670.0,66750.0,53
2023-07-07 22:15:00+08:00,2402,66860.0,66860.0,66860.0,66860.0,1
2023-07-07 22:30:00+08:00,2402,66920.0,66920.0,66920.0,66920.0,1
2023-07-10 09:00:00+08:00,2402,66930.0,66950.0,66930.0,66950.0,2
2023-07-10 09:30:00+08:00,2402,67060.0,67060.0,67040.0,67040.0,5
2023-07-10 09:45:00+08:00,2402,66860.0,66860.0,66860.0,66860.0,1
2023-07-10 10:45:00+08:00,2402,66830.0,66830.0,66820.0,66820.0,3
2023-07-10 11:00:00+08:00,2402,66830.0,66830.0,66830.0,66830.0,1
2023-07-10 13:30:00+08:00,2402,66600.0,66600.0,66600.0,66600.0,1
2023-07-10 14:15:00+08:00,2402,66730.0,66730.0,66730.0,66730.0,3
2023-07-10 21:00:00+08:00,2402,66990.0,66990.0,66700.0,66730.0,6
2023-07-10 21:15:00+08:00,2402,66880.0,66910.0,66850.0,66910.0,15
2023-07-10 21:30:00+08:00,2402,66900.0,66990.0,66900.0,66990.0,2
2023-07-10 21:45:00+08:00,2402,67000.0,67000.0,66970.0,66990.0,3
2023-07-10 22:00:00+08:00,2402,66930.0,66960.0,66930.0,66960.0,4
2023-07-10 22:15:00+08:00,2402,66910.0,66950.0,66910.0,66950.0,2
2023-07-10 23:00:00+08:00,2402,66950.0,66950.0,66950.0,66950.0,1
2023-07-11 09:00:00+08:00,2402,67150.0,67230.0,67150.0,67200.0,14
2023-07-11 09:15:00+08:00,2402,67150.0,67200.0,67150.0,67200.0,11
2023-07-11 09:45:00+08:00,2402,67160.0,67160.0,67160.0,67160.0,2
2023-07-11 10:00:00+08:00,2402,67160.0,67160.0,67160.0,67160.0,1
2023-07-11 10:30:00+08:00,2402,67170.0,67170.0,67150.0,67150.0,9
2023-07-11 10:45:00+08:00,2402,67150.0,67210.0,67070.0,67070.0,17
2023-07-11 11:15:00+08:00,2402,67180.0,67180.0,67180.0,67180.0,2
