times,spread_mean,spread_median
0000,0.0014991695205479438,0.00041000000000046555
0001,0.0014963613013698584,0.00041000000000046555
0002,0.001507243150684908,0.00043000000000059657
0003,0.0015064726027397052,0.00042000000000008697
0004,0.001505659246575334,0.0004299999999997084
0005,0.0015051883561643983,0.00042000000000008697
0006,0.0015039982876712387,0.00042000000000008697
0007,0.001505102739726037,0.00042000000000008697
0008,0.001503527397260261,0.00042000000000008697
0009,0.0015009845890410836,0.00042000000000008697
0010,0.0015055308219177942,0.00042000000000008697
0011,0.001502945205479433,0.0004199999999996429
0012,0.0015000085616438336,0.00042000000000008697
0013,0.0014956506849315002,0.00042000000000008697
0014,0.0014939897260274131,0.0004299999999997084
0015,0.001496566780821916,0.00042000000000008697
0016,0.0014910616438356047,0.00042000000000008697
0017,0.0014897174657534228,0.0004299999999997084
0018,0.0014886301369862905,0.0004199999999991988
0019,0.0014840154109588962,0.00042000000000008697
0020,0.0014819948630136965,0.0004199999999996429
0021,0.001477619863013694,0.00042000000000008697
0022,0.0014832191780821842,0.0004299999999997084
0023,0.001482148972602731,0.0004249999999998977
0024,0.0014762157534246505,0.00042000000000008697
0025,0.0014764726027397322,0.00042000000000008697
0026,0.0014744092465753453,0.00042000000000008697
0027,0.001480539383561636,0.00042000000000008697
0028,0.001476857876712337,0.0004299999999997084
0029,0.0014791010273972635,0.00042000000000008697
0030,0.0014783133561643701,0.00042000000000008697
0031,0.0014760188356164312,0.00042000000000008697
0032,0.001477953767123294,0.0004299999999997084
0033,0.0014763184931506817,0.00042000000000008697
0034,0.0014762842465753504,0.00042000000000008697
0035,0.001475839041095897,0.0004299999999997084
0036,0.0014712414383561579,0.00042000000000008697
0037,0.0014705308219178036,0.00042000000000008697
0038,0.0014760445205479302,0.0004299999999997084
0039,0.0014738527397260186,0.0004249999999998977
0040,0.001472962328767127,0.00042000000000008697
0041,0.0014777054794520537,0.00042000000000008697
0042,0.0014738527397260201,0.00042000000000008697
0043,0.0014767636986301328,0.0004249999999998977
0044,0.0014750342465753422,0.0004299999999997084
0045,0.0014778938356164461,0.0004299999999997084
0046,0.001478270547945192,0.0004249999999998977
0047,0.0014775428082191642,0.00042000000000008697
0048,0.0014763441780821845,0.00042000000000008697
0049,0.0014780051369862868,0.0004299999999997084
0050,0.0014739041095890525,0.0004299999999997084
0051,0.0014704280821917664,0.00042000000000008697
0052,0.0014726369863013683,0.0004299999999997084
0053,0.0014719691780821806,0.0004299999999997084
0054,0.0014708740359897039,0.00043000000000059657
0055,0.0014727506426735137,0.0004299999999997084
0056,0.0014687756849315063,0.0004299999999997084
0057,0.0014675684931506844,0.0004249999999998977
0058,0.0014656164383561633,0.00042000000000008697
0059,0.0014664640410958967,0.00042000000000008697
0100,0.0015057759336099589,0.0004500000000007276
0101,0.0015053609958506089,0.0004499999999998394
0102,0.0015071203319502204,0.0004499999999998394
0103,0.0015067053941908571,0.00045999999999946084
0104,0.0015090041493775908,0.0004499999999998394
0105,0.0015106804979253014,0.0004499999999998394
0106,0.0015107800829875374,0.0004499999999998394
0107,0.0015096099585062326,0.00045999999999946084
0108,0.0015092116182572467,0.00045999999999946084
0109,0.0015133858921161918,0.0004500000000007276
0110,0.0015146224066390028,0.00045999999999946084
0111,0.0015102655601659794,0.0004499999999998394
0112,0.0015107053941908768,0.0004499999999998394
0113,0.0015129734219268979,0.00045999999999946084
0114,0.001511868770764124,0.000440000000000218
0115,0.0015138589211618112,0.0004499999999998394
0116,0.0015186970954356662,0.00045999999999946084
0117,0.0015150207468879783,0.0004499999999998394
0118,0.0015175166112956753,0.0004550000000000942
0119,0.0015176099585062141,0.0004499999999998394
