symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2401,900s,66690.0,66690.0,66690.0,66690.0,1,333450.0,0.0,4928,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2401,900s,66670.0,66720.0,66670.0,66720.0,6,2000850.0,0.0,4927,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2401,900s,66730.0,66730.0,66730.0,66730.0,3,1000950.0,0.0,4924,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2401,900s,66700.0,66700.0,66700.0,66700.0,5,1667500.0,0.0,4927,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2401,900s,66680.0,66680.0,66680.0,66680.0,5,1667000.0,0.0,4926,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2401,900s,66710.0,66760.0,66690.0,66760.0,7,2335100.0,0.0,4927,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2401,900s,66750.0,66760.0,66730.0,66730.0,4,1334900.0,0.0,4926,2023-07-07 11:15:00+08:00,2023-07-07 11:30:00+08:00
SHFE.cu2401,900s,66820.0,66860.0,66800.0,66800.0,40,13367200.0,0.0,4950,2023-07-07 13:30:00+08:00,2023-07-07 13:45:00+08:00
SHFE.cu2401,900s,66770.0,66780.0,66750.0,66750.0,6,2003100.0,0.0,4952,2023-07-07 13:45:00+08:00,2023-07-07 14:00:00+08:00
SHFE.cu2401,900s,66750.0,66750.0,66700.0,66700.0,4,1334350.0,0.0,4951,2023-07-07 14:30:00+08:00,2023-07-07 14:45:00+08:00
SHFE.cu2401,900s,66710.0,66710.0,66600.0,66600.0,11,3665250.0,0.0,4955,2023-07-07 14:45:00+08:00,2023-07-07 15:00:00+08:00
SHFE.cu2401,900s,66760.0,66800.0,66740.0,66740.0,9,3005450.0,0.0,4948,2023-07-07 21:15:00+08:00,2023-07-07 21:30:00+08:00
SHFE.cu2401,900s,66740.0,66870.0,66740.0,66830.0,14,4678700.0,0.0,4957,2023-07-07 21:30:00+08:00,2023-07-07 21:45:00+08:00
SHFE.cu2401,900s,66840.0,66910.0,66830.0,66870.0,10,3343350.0,0.0,4964,2023-07-07 21:45:00+08:00,2023-07-07 22:00:00+08:00
SHFE.cu2401,900s,66800.0,66890.0,66800.0,66890.0,2,668450.0,0.0,4965,2023-07-07 22:00:00+08:00,2023-07-07 22:15:00+08:00
SHFE.cu2401,900s,66930.0,66930.0,66930.0,66930.0,1,334650.0,0.0,4964,2023-07-07 22:15:00+08:00,2023-07-07 22:30:00+08:00
SHFE.cu2401,900s,66930.0,66980.0,66930.0,66950.0,10,3347050.0,0.0,4963,2023-07-07 22:30:00+08:00,2023-07-07 22:45:00+08:00
SHFE.cu2401,900s,66900.0,66900.0,66900.0,66900.0,1,334500.0,0.0,4964,2023-07-07 23:00:00+08:00,2023-07-07 23:15:00+08:00
SHFE.cu2401,900s,66900.0,66900.0,66900.0,66900.0,4,1338000.0,0.0,4964,2023-07-08 00:15:00+08:00,2023-07-08 00:30:00+08:00
SHFE.cu2401,900s,66950.0,66950.0,66950.0,66950.0,1,334750.0,0.0,4964,2023-07-08 00:45:00+08:00,2023-07-08 01:00:00+08:00
SHFE.cu2401,900s,66910.0,67000.0,66910.0,66960.0,13,4352400.0,0.0,4970,2023-07-10 09:00:00+08:00,2023-07-10 09:15:00+08:00
SHFE.cu2401,900s,67010.0,67100.0,67010.0,67080.0,32,10728050.0,0.0,4975,2023-07-10 09:15:00+08:00,2023-07-10 09:30:00+08:00
SHFE.cu2401,900s,67110.0,67130.0,66960.0,66960.0,17,5701500.0,0.0,4981,2023-07-10 09:30:00+08:00,2023-07-10 09:45:00+08:00
SHFE.cu2401,900s,66930.0,66940.0,66930.0,66940.0,2,669350.0,0.0,4980,2023-07-10 09:45:00+08:00,2023-07-10 10:00:00+08:00
SHFE.cu2401,900s,66880.0,66890.0,66860.0,66880.0,20,6686850.0,0.0,4971,2023-07-10 10:30:00+08:00,2023-07-10 10:45:00+08:00
SHFE.cu2401,900s,66880.0,66880.0,66880.0,66880.0,15,5016000.0,0.0,4986,2023-07-10 10:45:00+08:00,2023-07-10 11:00:00+08:00
SHFE.cu2401,900s,66880.0,66910.0,66880.0,66880.0,3,1003350.0,0.0,4986,2023-07-10 11:00:00+08:00,2023-07-10 11:15:00+08:00
SHFE.cu2401,900s,66800.0,66840.0,66670.0,66670.0,15,5003500.0,0.0,4993,2023-07-10 13:30:00+08:00,2023-07-10 13:45:00+08:00
SHFE.cu2401,900s,66720.0,66720.0,66680.0,66700.0,7,2334400.0,0.0,4990,2023-07-10 13:45:00+08:00,2023-07-10 14:00:00+08:00
SHFE.cu2401,900s,66720.0,66740.0,66720.0,66740.0,4,1334550.0,0.0,4991,2023-07-10 14:00:00+08:00,2023-07-10 14:15:00+08:00
SHFE.cu2401,900s,66800.0,66810.0,66720.0,66720.0,24,8014300.0,0.0,4987,2023-07-10 14:45:00+08:00,2023-07-10 15:00:00+08:00
SHFE.cu2401,900s,66720.0,66900.0,66720.0,66890.0,324,108098650.0,0.0,4888,2023-07-10 21:00:00+08:00,2023-07-10 21:15:00+08:00
SHFE.cu2401,900s,66910.0,66990.0,66890.0,66990.0,21,7027100.0,0.0,4896,2023-07-10 21:15:00+08:00,2023-07-10 21:30:00+08:00
SHFE.cu2401,900s,67000.0,67000.0,67000.0,67000.0,3,1005000.0,0.0,4896,2023-07-10 21:30:00+08:00,2023-07-10 21:45:00+08:00
SHFE.cu2401,900s,67020.0,67040.0,67020.0,67040.0,5,1675700.0,0.0,4895,2023-07-10 21:45:00+08:00,2023-07-10 22:00:00+08:00
SHFE.cu2401,900s,66980.0,67050.0,66980.0,67020.0,8,2680700.0,0.0,4896,2023-07-10 22:00:00+08:00,2023-07-10 22:15:00+08:00
SHFE.cu2401,900s,66960.0,67000.0,66960.0,67000.0,3,1004800.0,0.0,4898,2023-07-10 22:15:00+08:00,2023-07-10 22:30:00+08:00
SHFE.cu2401,900s,66930.0,66960.0,66930.0,66960.0,3,1004100.0,0.0,4899,2023-07-10 22:30:00+08:00,2023-07-10 22:45:00+08:00
SHFE.cu2401,900s,66980.0,67000.0,66980.0,67000.0,2,669900.0,0.0,4900,2023-07-10 23:15:00+08:00,2023-07-10 23:30:00+08:00
SHFE.cu2401,900s,67030.0,67050.0,67030.0,67050.0,6,2011300.0,0.0,4903,2023-07-10 23:45:00+08:00,2023-07-11 00:00:00+08:00
SHFE.cu2401,900s,67060.0,67070.0,67060.0,67070.0,3,1006000.0,0.0,4904,2023-07-11 00:45:00+08:00,2023-07-11 01:00:00+08:00
SHFE.cu2401,900s,67180.0,67300.0,67180.0,67190.0,26,8741550.0,0.0,4906,2023-07-11 09:00:00+08:00,2023-07-11 09:15:00+08:00
SHFE.cu2401,900s,67230.0,67260.0,67210.0,67250.0,27,9076550.0,0.0,4896,2023-07-11 09:15:00+08:00,2023-07-11 09:30:00+08:00
SHFE.cu2401,900s,67230.0,67250.0,67230.0,67250.0,7,2353400.0,0.0,4895,2023-07-11 09:30:00+08:00,2023-07-11 09:45:00+08:00
SHFE.cu2401,900s,67240.0,67240.0,67210.0,67230.0,5,1680750.0,0.0,4895,2023-07-11 09:45:00+08:00,2023-07-11 10:00:00+08:00
SHFE.cu2401,900s,67220.0,67230.0,67220.0,67230.0,17,5714500.0,0.0,4892,2023-07-11 10:00:00+08:00,2023-07-11 10:15:00+08:00
SHFE.cu2401,900s,67210.0,67250.0,67180.0,67210.0,55,18476800.0,0.0,4928,2023-07-11 10:30:00+08:00,2023-07-11 10:45:00+08:00
SHFE.cu2401,900s,67180.0,67180.0,67110.0,67160.0,50,16785300.0,0.0,4942,2023-07-11 10:45:00+08:00,2023-07-11 11:00:00+08:00
SHFE.cu2401,900s,67200.0,67220.0,67200.0,67220.0,12,4033050.0,0.0,4952,2023-07-11 11:00:00+08:00,2023-07-11 11:15:00+08:00
SHFE.cu2401,900s,67310.0,67340.0,67250.0,67320.0,15,5046700.0,0.0,4950,2023-07-11 13:30:00+08:00,2023-07-11 13:45:00+08:00
SHFE.cu2401,900s,67280.0,67290.0,67260.0,67260.0,7,2354600.0,0.0,4950,2023-07-11 13:45:00+08:00,2023-07-11 14:00:00+08:00
SHFE.cu2401,900s,67270.0,67350.0,67270.0,67350.0,12,4039600.0,0.0,4942,2023-07-11 14:00:00+08:00,2023-07-11 14:15:00+08:00
SHFE.cu2401,900s,67350.0,67360.0,67320.0,67360.0,7,2357100.0,0.0,4939,2023-07-11 14:15:00+08:00,2023-07-11 14:30:00+08:00
SHFE.cu2401,900s,67370.0,67370.0,67360.0,67370.0,16,5389300.0,0.0,4938,2023-07-11 14:30:00+08:00,2023-07-11 14:45:00+08:00
SHFE.cu2401,900s,67330.0,67390.0,67320.0,67370.0,31,10439250.0,0.0,4928,2023-07-11 14:45:00+08:00,2023-07-11 15:00:00+08:00
SHFE.cu2401,900s,67090.0,67090.0,66970.0,66980.0,35,11726000.0,0.0,4947,2023-07-11 21:00:00+08:00,2023-07-11 21:15:00+08:00
SHFE.cu2401,900s,66960.0,66970.0,66920.0,66920.0,10,3347800.0,0.0,4952,2023-07-11 21:15:00+08:00,2023-07-11 21:30:00+08:00
SHFE.cu2401,900s,66980.0,66990.0,66920.0,66920.0,8,2678250.0,0.0,4950,2023-07-11 21:30:00+08:00,2023-07-11 21:45:00+08:00
SHFE.cu2401,900s,66940.0,66940.0,66910.0,66910.0,8,2676850.0,0.0,4956,2023-07-11 21:45:00+08:00,2023-07-11 22:00:00+08:00
SHFE.cu2401,900s,66930.0,66930.0,66910.0,66910.0,7,2342150.0,0.0,4960,2023-07-11 22:00:00+08:00,2023-07-11 22:15:00+08:00
SHFE.cu2401,900s,66920.0,66920.0,66900.0,66910.0,9,3010900.0,0.0,4961,2023-07-11 22:15:00+08:00,2023-07-11 22:30:00+08:00
SHFE.cu2401,900s,66860.0,66870.0,66740.0,66770.0,80,26732250.0,0.0,5011,2023-07-11 22:30:00+08:00,2023-07-11 22:45:00+08:00
SHFE.cu2401,900s,66810.0,66820.0,66790.0,66820.0,43,14364150.0,0.0,5038,2023-07-11 22:45:00+08:00,2023-07-11 23:00:00+08:00
SHFE.cu2401,900s,66840.0,66840.0,66800.0,66810.0,7,2338450.0,0.0,5035,2023-07-11 23:00:00+08:00,2023-07-11 23:15:00+08:00
SHFE.cu2401,900s,66840.0,66840.0,66840.0,66840.0,1,334200.0,0.0,5034,2023-07-11 23:15:00+08:00,2023-07-11 23:30:00+08:00
SHFE.cu2401,900s,66830.0,66860.0,66820.0,66860.0,5,1670850.0,0.0,5034,2023-07-11 23:30:00+08:00,2023-07-11 23:45:00+08:00
SHFE.cu2401,900s,66870.0,66870.0,66870.0,66870.0,1,334350.0,0.0,5035,2023-07-11 23:45:00+08:00,2023-07-12 00:00:00+08:00
SHFE.cu2401,900s,66820.0,66820.0,66820.0,66820.0,2,668200.0,0.0,5036,2023-07-12 00:00:00+08:00,2023-07-12 00:15:00+08:00
SHFE.cu2401,900s,66830.0,66850.0,66830.0,66850.0,2,668400.0,0.0,5035,2023-07-12 00:15:00+08:00,2023-07-12 00:30:00+08:00
SHFE.cu2401,900s,66850.0,66910.0,66850.0,66850.0,12,4013400.0,0.0,5044,2023-07-12 00:45:00+08:00,2023-07-12 01:00:00+08:00
SHFE.cu2401,900s,66920.0,66980.0,66890.0,66890.0,44,14727500.0,0.0,5045,2023-07-12 09:00:00+08:00,2023-07-12 09:15:00+08:00
SHFE.cu2401,900s,66900.0,66900.0,66880.0,66880.0,18,6020550.0,0.0,5056,2023-07-12 09:15:00+08:00,2023-07-12 09:30:00+08:00
SHFE.cu2401,900s,66840.0,66880.0,66810.0,66870.0,8,2674000.0,0.0,5056,2023-07-12 09:30:00+08:00,2023-07-12 09:45:00+08:00
SHFE.cu2401,900s,66890.0,66920.0,66870.0,66900.0,15,5017650.0,0.0,5059,2023-07-12 09:45:00+08:00,2023-07-12 10:00:00+08:00
