symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2312,900s,66780.0,66780.0,66780.0,66780.0,3,1001700.0,0.0,17795,2023-07-07 00:00:00+08:00,2023-07-07 00:15:00+08:00
SHFE.cu2312,900s,66690.0,66700.0,66690.0,66700.0,4,1333950.0,0.0,17795,2023-07-07 00:15:00+08:00,2023-07-07 00:30:00+08:00
SHFE.cu2312,900s,66710.0,66710.0,66710.0,66710.0,1,333550.0,0.0,17794,2023-07-07 00:30:00+08:00,2023-07-07 00:45:00+08:00
SHFE.cu2312,900s,66730.0,66780.0,66730.0,66740.0,11,3670850.0,0.0,17794,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2312,900s,66760.0,66860.0,66760.0,66820.0,27,9015350.0,0.0,17814,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2312,900s,66830.0,66840.0,66800.0,66810.0,14,4677500.0,0.0,17813,2023-07-07 09:15:00+08:00,2023-07-07 09:30:00+08:00
SHFE.cu2312,900s,66830.0,66940.0,66800.0,66910.0,53,17725150.0,0.0,17826,2023-07-07 09:30:00+08:00,2023-07-07 09:45:00+08:00
SHFE.cu2312,900s,66830.0,66850.0,66830.0,66850.0,8,2673300.0,0.0,17832,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2312,900s,66800.0,66800.0,66790.0,66790.0,5,1669800.0,0.0,17834,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2312,900s,66810.0,66850.0,66800.0,66800.0,6,2004600.0,0.0,17834,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2312,900s,66790.0,66790.0,66770.0,66780.0,20,6677950.0,0.0,17842,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2312,900s,66800.0,66860.0,66790.0,66860.0,26,8687350.0,0.0,17842,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2312,900s,66830.0,66850.0,66820.0,66820.0,23,7685600.0,0.0,17852,2023-07-07 11:15:00+08:00,2023-07-07 11:30:00+08:00
SHFE.cu2312,900s,66850.0,66950.0,66850.0,66910.0,139,46510200.0,0.0,17948,2023-07-07 13:30:00+08:00,2023-07-07 13:45:00+08:00
SHFE.cu2312,900s,66910.0,66910.0,66850.0,66870.0,89,29767300.0,0.0,18002,2023-07-07 13:45:00+08:00,2023-07-07 14:00:00+08:00
SHFE.cu2312,900s,66850.0,66850.0,66810.0,66830.0,16,5347400.0,0.0,18014,2023-07-07 14:00:00+08:00,2023-07-07 14:15:00+08:00
SHFE.cu2312,900s,66800.0,66800.0,66770.0,66770.0,3,1001700.0,0.0,18016,2023-07-07 14:15:00+08:00,2023-07-07 14:30:00+08:00
SHFE.cu2312,900s,66790.0,66800.0,66760.0,66790.0,13,4340600.0,0.0,18025,2023-07-07 14:30:00+08:00,2023-07-07 14:45:00+08:00
SHFE.cu2312,900s,66780.0,66800.0,66710.0,66710.0,61,20354100.0,0.0,18054,2023-07-07 14:45:00+08:00,2023-07-07 15:00:00+08:00
SHFE.cu2312,900s,66930.0,66970.0,66860.0,66940.0,82,27442950.0,0.0,18080,2023-07-07 21:00:00+08:00,2023-07-07 21:15:00+08:00
SHFE.cu2312,900s,66920.0,66920.0,66860.0,66860.0,31,10366750.0,0.0,18100,2023-07-07 21:15:00+08:00,2023-07-07 21:30:00+08:00
SHFE.cu2312,900s,66820.0,66950.0,66800.0,66910.0,92,30766300.0,0.0,18132,2023-07-07 21:30:00+08:00,2023-07-07 21:45:00+08:00
SHFE.cu2312,900s,66930.0,67040.0,66930.0,66970.0,75,25120250.0,0.0,18137,2023-07-07 21:45:00+08:00,2023-07-07 22:00:00+08:00
SHFE.cu2312,900s,66940.0,66940.0,66900.0,66930.0,12,4015800.0,0.0,18133,2023-07-07 22:00:00+08:00,2023-07-07 22:15:00+08:00
SHFE.cu2312,900s,67010.0,67010.0,66950.0,66950.0,4,1339400.0,0.0,18134,2023-07-07 22:15:00+08:00,2023-07-07 22:30:00+08:00
SHFE.cu2312,900s,67030.0,67090.0,67010.0,67050.0,86,28834150.0,0.0,18173,2023-07-07 22:30:00+08:00,2023-07-07 22:45:00+08:00
SHFE.cu2312,900s,67050.0,67060.0,66950.0,67030.0,46,15413700.0,0.0,18199,2023-07-07 22:45:00+08:00,2023-07-07 23:00:00+08:00
SHFE.cu2312,900s,67010.0,67010.0,67010.0,67010.0,1,335050.0,0.0,18198,2023-07-07 23:00:00+08:00,2023-07-07 23:15:00+08:00
SHFE.cu2312,900s,67010.0,67010.0,67010.0,67010.0,5,1675250.0,0.0,18200,2023-07-07 23:15:00+08:00,2023-07-07 23:30:00+08:00
SHFE.cu2312,900s,67020.0,67060.0,67020.0,67030.0,8,2681600.0,0.0,18201,2023-07-07 23:30:00+08:00,2023-07-07 23:45:00+08:00
SHFE.cu2312,900s,67000.0,67000.0,67000.0,67000.0,1,335000.0,0.0,18201,2023-07-07 23:45:00+08:00,2023-07-08 00:00:00+08:00
SHFE.cu2312,900s,67010.0,67010.0,67010.0,67010.0,2,670100.0,0.0,18203,2023-07-08 00:00:00+08:00,2023-07-08 00:15:00+08:00
SHFE.cu2312,900s,66980.0,66980.0,66980.0,66980.0,5,1674500.0,0.0,18206,2023-07-08 00:15:00+08:00,2023-07-08 00:30:00+08:00
SHFE.cu2312,900s,66990.0,67010.0,66980.0,67010.0,5,1674750.0,0.0,18208,2023-07-08 00:30:00+08:00,2023-07-08 00:45:00+08:00
SHFE.cu2312,900s,67020.0,67070.0,67000.0,67000.0,27,9050000.0,0.0,18210,2023-07-08 00:45:00+08:00,2023-07-08 01:00:00+08:00
SHFE.cu2312,900s,67000.0,67110.0,67000.0,67080.0,127,42588950.0,0.0,18272,2023-07-10 09:00:00+08:00,2023-07-10 09:15:00+08:00
SHFE.cu2312,900s,67070.0,67200.0,67060.0,67200.0,132,44325200.0,0.0,18282,2023-07-10 09:15:00+08:00,2023-07-10 09:30:00+08:00
SHFE.cu2312,900s,67200.0,67230.0,67050.0,67080.0,199,66856050.0,0.0,18273,2023-07-10 09:30:00+08:00,2023-07-10 09:45:00+08:00
