symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2308,900s,67610.0,67670.0,67600.0,67600.0,499,168743150.0,0.0,188393,2023-07-07 00:00:00+08:00,2023-07-07 00:15:00+08:00
SHFE.cu2308,900s,67590.0,67620.0,67580.0,67600.0,356,120324500.0,0.0,188414,2023-07-07 00:15:00+08:00,2023-07-07 00:30:00+08:00
SHFE.cu2308,900s,67600.0,67630.0,67580.0,67600.0,166,56115550.0,0.0,188386,2023-07-07 00:30:00+08:00,2023-07-07 00:45:00+08:00
SHFE.cu2308,900s,67590.0,67670.0,67590.0,67660.0,408,137964750.0,0.0,188311,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2308,900s,67680.0,67760.0,67660.0,67730.0,2328,788092150.0,0.0,188359,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2308,900s,67710.0,67740.0,67640.0,67680.0,1555,526227350.0,0.0,188417,2023-07-07 09:15:00+08:00,2023-07-07 09:30:00+08:00
SHFE.cu2308,900s,67700.0,67810.0,67680.0,67750.0,2770,938320050.0,0.0,188084,2023-07-07 09:30:00+08:00,2023-07-07 09:45:00+08:00
SHFE.cu2308,900s,67740.0,67750.0,67690.0,67720.0,1594,539686900.0,0.0,188142,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2308,900s,67710.0,67730.0,67660.0,67690.0,1538,520531900.0,0.0,188265,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2308,900s,67700.0,67740.0,67680.0,67700.0,1539,520995500.0,0.0,188004,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2308,900s,67700.0,67710.0,67660.0,67690.0,1519,514052100.0,0.0,188232,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2308,900s,67700.0,67770.0,67680.0,67760.0,2423,820561850.0,0.0,188138,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2308,900s,67760.0,67770.0,67710.0,67720.0,907,307159950.0,0.0,188212,2023-07-07 11:15:00+08:00,2023-07-07 11:30:00+08:00
SHFE.cu2308,900s,67780.0,67860.0,67750.0,67790.0,4384,1486558750.0,0.0,189144,2023-07-07 13:30:00+08:00,2023-07-07 13:45:00+08:00
SHFE.cu2308,900s,67800.0,67800.0,67720.0,67760.0,1598,541399200.0,0.0,189135,2023-07-07 13:45:00+08:00,2023-07-07 14:00:00+08:00
SHFE.cu2308,900s,67760.0,67770.0,67710.0,67750.0,1300,440289000.0,0.0,189244,2023-07-07 14:00:00+08:00,2023-07-07 14:15:00+08:00
SHFE.cu2308,900s,67770.0,67800.0,67680.0,67700.0,2465,834862900.0,0.0,189171,2023-07-07 14:15:00+08:00,2023-07-07 14:30:00+08:00
SHFE.cu2308,900s,67700.0,67740.0,67680.0,67720.0,2099,710638150.0,0.0,189357,2023-07-07 14:30:00+08:00,2023-07-07 14:45:00+08:00
SHFE.cu2308,900s,67710.0,67740.0,67600.0,67610.0,4834,1635181750.0,0.0,189293,2023-07-07 14:45:00+08:00,2023-07-07 15:00:00+08:00
SHFE.cu2308,900s,67790.0,67890.0,67770.0,67840.0,6264,2124294700.0,0.0,189033,2023-07-07 21:00:00+08:00,2023-07-07 21:15:00+08:00
SHFE.cu2308,900s,67850.0,67860.0,67710.0,67720.0,2547,863245050.0,0.0,189225,2023-07-07 21:15:00+08:00,2023-07-07 21:30:00+08:00
SHFE.cu2308,900s,67710.0,67860.0,67700.0,67830.0,2981,1010406350.0,0.0,189264,2023-07-07 21:30:00+08:00,2023-07-07 21:45:00+08:00
SHFE.cu2308,900s,67830.0,67960.0,67820.0,67860.0,3064,1040144950.0,0.0,189347,2023-07-07 21:45:00+08:00,2023-07-07 22:00:00+08:00
