symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2307,900s,68010.0,68010.0,68010.0,68010.0,5,1700250.0,0.0,65675,2023-07-07 00:00:00+08:00,2023-07-07 00:15:00+08:00
SHFE.cu2307,900s,68000.0,68160.0,67980.0,68000.0,230,78238000.0,0.0,65535,2023-07-07 00:15:00+08:00,2023-07-07 00:30:00+08:00
SHFE.cu2307,900s,68020.0,68020.0,67990.0,67990.0,20,6800000.0,0.0,65520,2023-07-07 00:30:00+08:00,2023-07-07 00:45:00+08:00
SHFE.cu2307,900s,67990.0,68020.0,67990.0,68020.0,15,5100250.0,0.0,65505,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2307,900s,68090.0,68150.0,68060.0,68090.0,500,170233250.0,0.0,65325,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2307,900s,68100.0,68100.0,68040.0,68080.0,840,285893000.0,0.0,65135,2023-07-07 09:15:00+08:00,2023-07-07 09:30:00+08:00
SHFE.cu2307,900s,68090.0,68180.0,68080.0,68140.0,1165,396792000.0,0.0,64770,2023-07-07 09:30:00+08:00,2023-07-07 09:45:00+08:00
SHFE.cu2307,900s,68130.0,68130.0,68080.0,68120.0,1080,367783750.0,0.0,64525,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2307,900s,68090.0,68130.0,68050.0,68080.0,1145,389720250.0,0.0,64325,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2307,900s,68110.0,68120.0,68080.0,68100.0,1155,393246750.0,0.0,63745,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2307,900s,68100.0,68100.0,68060.0,68080.0,1385,471445250.0,0.0,63085,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2307,900s,68080.0,68140.0,68080.0,68120.0,1450,493778500.0,0.0,62765,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
