symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2403,900s,66580.0,66580.0,66470.0,66470.0,8,2659350.0,0.0,3032,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2403,900s,66680.0,66680.0,66680.0,66680.0,1,333400.0,0.0,3032,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2403,900s,66690.0,66690.0,66690.0,66690.0,5,1667250.0,0.0,3030,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2403,900s,66690.0,66690.0,66680.0,66680.0,2,666850.0,0.0,3029,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2403,900s,66680.0,66680.0,66680.0,66680.0,1,333400.0,0.0,3029,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2403,900s,66640.0,66750.0,66640.0,66750.0,7,2333450.0,0.0,3032,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2403,900s,66720.0,66720.0,66720.0,66720.0,3,1000800.0,0.0,3032,2023-07-07 14:15:00+08:00,2023-07-07 14:30:00+08:00
SHFE.cu2403,900s,66620.0,66670.0,66620.0,66640.0,3,999650.0,0.0,3033,2023-07-07 14:30:00+08:00,2023-07-07 14:45:00+08:00
SHFE.cu2403,900s,66620.0,66620.0,66530.0,66530.0,8,2663200.0,0.0,3029,2023-07-07 14:45:00+08:00,2023-07-07 15:00:00+08:00
SHFE.cu2403,900s,66770.0,66770.0,66770.0,66770.0,1,333850.0,0.0,3028,2023-07-07 21:15:00+08:00,2023-07-07 21:30:00+08:00
SHFE.cu2403,900s,66810.0,66860.0,66810.0,66830.0,22,7352550.0,0.0,3024,2023-07-07 21:30:00+08:00,2023-07-07 21:45:00+08:00
SHFE.cu2403,900s,66870.0,66940.0,66830.0,66830.0,17,5682450.0,0.0,3030,2023-07-07 21:45:00+08:00,2023-07-07 22:00:00+08:00
SHFE.cu2403,900s,66820.0,66820.0,66780.0,66780.0,4,1336200.0,0.0,3031,2023-07-07 22:00:00+08:00,2023-07-07 22:15:00+08:00
SHFE.cu2403,900s,66940.0,66940.0,66940.0,66940.0,1,334700.0,0.0,3032,2023-07-07 22:30:00+08:00,2023-07-07 22:45:00+08:00
SHFE.cu2403,900s,66880.0,66880.0,66880.0,66880.0,1,334400.0,0.0,3032,2023-07-07 22:45:00+08:00,2023-07-07 23:00:00+08:00
SHFE.cu2403,900s,66840.0,66840.0,66790.0,66790.0,5,1670100.0,0.0,3028,2023-07-08 00:45:00+08:00,2023-07-08 01:00:00+08:00
SHFE.cu2403,900s,66930.0,66950.0,66930.0,66930.0,3,1004050.0,0.0,3030,2023-07-10 09:00:00+08:00,2023-07-10 09:15:00+08:00
SHFE.cu2403,900s,67050.0,67050.0,67050.0,67050.0,5,1676250.0,0.0,3031,2023-07-10 09:15:00+08:00,2023-07-10 09:30:00+08:00
SHFE.cu2403,900s,67040.0,67040.0,67040.0,67040.0,3,1005600.0,0.0,3030,2023-07-10 09:30:00+08:00,2023-07-10 09:45:00+08:00
SHFE.cu2403,900s,66880.0,66880.0,66880.0,66880.0,1,334400.0,0.0,3029,2023-07-10 09:45:00+08:00,2023-07-10 10:00:00+08:00
SHFE.cu2403,900s,66880.0,66880.0,66880.0,66880.0,1,334400.0,0.0,3029,2023-07-10 10:00:00+08:00,2023-07-10 10:15:00+08:00
SHFE.cu2403,900s,66850.0,66850.0,66850.0,66850.0,1,334250.0,0.0,3030,2023-07-10 11:00:00+08:00,2023-07-10 11:15:00+08:00
SHFE.cu2403,900s,66740.0,66740.0,66740.0,66740.0,1,333700.0,0.0,3029,2023-07-10 11:15:00+08:00,2023-07-10 11:30:00+08:00
SHFE.cu2403,900s,66640.0,66640.0,66640.0,66640.0,3,999600.0,0.0,3029,2023-07-10 13:30:00+08:00,2023-07-10 13:45:00+08:00
SHFE.cu2403,900s,66660.0,66670.0,66650.0,66670.0,16,5333150.0,0.0,3038,2023-07-10 13:45:00+08:00,2023-07-10 14:00:00+08:00
SHFE.cu2403,900s,66700.0,66700.0,66670.0,66670.0,12,4001700.0,0.0,3048,2023-07-10 14:00:00+08:00,2023-07-10 14:15:00+08:00
SHFE.cu2403,900s,66700.0,66700.0,66700.0,66700.0,1,333500.0,0.0,3048,2023-07-10 14:15:00+08:00,2023-07-10 14:30:00+08:00
SHFE.cu2403,900s,66760.0,66760.0,66740.0,66740.0,27,9012050.0,0.0,3072,2023-07-10 14:45:00+08:00,2023-07-10 15:00:00+08:00
SHFE.cu2403,900s,66760.0,66860.0,66760.0,66860.0,4,1336400.0,0.0,3075,2023-07-10 21:00:00+08:00,2023-07-10 21:15:00+08:00
SHFE.cu2403,900s,66850.0,66900.0,66850.0,66900.0,6,2006750.0,0.0,3075,2023-07-10 21:15:00+08:00,2023-07-10 21:30:00+08:00
SHFE.cu2403,900s,66990.0,66990.0,66990.0,66990.0,1,334950.0,0.0,3075,2023-07-10 21:30:00+08:00,2023-07-10 21:45:00+08:00
SHFE.cu2403,900s,67000.0,67000.0,66970.0,67000.0,8,2679550.0,0.0,3075,2023-07-10 21:45:00+08:00,2023-07-10 22:00:00+08:00
SHFE.cu2403,900s,66930.0,66930.0,66930.0,66930.0,1,334650.0,0.0,3074,2023-07-10 22:00:00+08:00,2023-07-10 22:15:00+08:00
SHFE.cu2403,900s,66890.0,66890.0,66890.0,66890.0,1,334450.0,0.0,3074,2023-07-10 22:15:00+08:00,2023-07-10 22:30:00+08:00
SHFE.cu2403,900s,66870.0,66870.0,66870.0,66870.0,1,334350.0,0.0,3073,2023-07-10 22:30:00+08:00,2023-07-10 22:45:00+08:00
SHFE.cu2403,900s,66960.0,66960.0,66960.0,66960.0,1,334800.0,0.0,3074,2023-07-10 23:15:00+08:00,2023-07-10 23:30:00+08:00
SHFE.cu2403,900s,67110.0,67230.0,67110.0,67230.0,7,2350700.0,0.0,3072,2023-07-11 09:00:00+08:00,2023-07-11 09:15:00+08:00
SHFE.cu2403,900s,67220.0,67230.0,67220.0,67230.0,3,1008400.0,0.0,3072,2023-07-11 09:15:00+08:00,2023-07-11 09:30:00+08:00
SHFE.cu2403,900s,67160.0,67190.0,67160.0,67190.0,2,671750.0,0.0,3071,2023-07-11 09:30:00+08:00,2023-07-11 09:45:00+08:00
SHFE.cu2403,900s,67190.0,67190.0,67160.0,67160.0,2,671750.0,0.0,3070,2023-07-11 09:45:00+08:00,2023-07-11 10:00:00+08:00
SHFE.cu2403,900s,67210.0,67210.0,67190.0,67190.0,24,8062900.0,0.0,3092,2023-07-11 10:00:00+08:00,2023-07-11 10:15:00+08:00
SHFE.cu2403,900s,67190.0,67190.0,67180.0,67180.0,27,9070150.0,0.0,3105,2023-07-11 10:30:00+08:00,2023-07-11 10:45:00+08:00
SHFE.cu2403,900s,67170.0,67170.0,67090.0,67090.0,60,20136800.0,0.0,3139,2023-07-11 10:45:00+08:00,2023-07-11 11:00:00+08:00
SHFE.cu2403,900s,67260.0,67260.0,67260.0,67260.0,4,1345200.0,0.0,3143,2023-07-11 13:30:00+08:00,2023-07-11 13:45:00+08:00
SHFE.cu2403,900s,67200.0,67200.0,67200.0,67200.0,4,1344000.0,0.0,3144,2023-07-11 13:45:00+08:00,2023-07-11 14:00:00+08:00
SHFE.cu2403,900s,67200.0,67200.0,67200.0,67200.0,1,336000.0,0.0,3144,2023-07-11 14:00:00+08:00,2023-07-11 14:15:00+08:00
SHFE.cu2403,900s,67280.0,67280.0,67280.0,67280.0,1,336400.0,0.0,3144,2023-07-11 14:30:00+08:00,2023-07-11 14:45:00+08:00
SHFE.cu2403,900s,67290.0,67320.0,67280.0,67280.0,7,2355650.0,0.0,3142,2023-07-11 14:45:00+08:00,2023-07-11 15:00:00+08:00
SHFE.cu2403,900s,66920.0,66950.0,66920.0,66920.0,5,1673250.0,0.0,3140,2023-07-11 21:00:00+08:00,2023-07-11 21:15:00+08:00
SHFE.cu2403,900s,66920.0,66920.0,66890.0,66890.0,3,1003500.0,0.0,3139,2023-07-11 21:15:00+08:00,2023-07-11 21:30:00+08:00
SHFE.cu2403,900s,66870.0,66870.0,66680.0,66700.0,23,7677750.0,0.0,3143,2023-07-11 22:30:00+08:00,2023-07-11 22:45:00+08:00
SHFE.cu2403,900s,66700.0,66700.0,66700.0,66700.0,1,333500.0,0.0,3143,2023-07-11 22:45:00+08:00,2023-07-11 23:00:00+08:00
SHFE.cu2403,900s,66780.0,66780.0,66730.0,66730.0,5,1668700.0,0.0,3147,2023-07-12 00:00:00+08:00,2023-07-12 00:15:00+08:00
SHFE.cu2403,900s,66880.0,66920.0,66820.0,66830.0,61,20391950.0,0.0,3155,2023-07-12 09:00:00+08:00,2023-07-12 09:15:00+08:00
SHFE.cu2403,900s,66880.0,66880.0,66880.0,66880.0,2,668800.0,0.0,3156,2023-07-12 10:30:00+08:00,2023-07-12 10:45:00+08:00
SHFE.cu2403,900s,66850.0,66900.0,66850.0,66900.0,4,1337500.0,0.0,3157,2023-07-12 13:45:00+08:00,2023-07-12 14:00:00+08:00
SHFE.cu2403,900s,67320.0,67320.0,67320.0,67320.0,3,1009800.0,0.0,3157,2023-07-12 21:00:00+08:00,2023-07-12 21:15:00+08:00
SHFE.cu2403,900s,67420.0,67420.0,67420.0,67420.0,1,337100.0,0.0,3156,2023-07-12 21:15:00+08:00,2023-07-12 21:30:00+08:00
SHFE.cu2403,900s,67470.0,67480.0,67470.0,67480.0,4,1349450.0,0.0,3158,2023-07-12 21:45:00+08:00,2023-07-12 22:00:00+08:00
SHFE.cu2403,900s,67600.0,67700.0,67600.0,67700.0,2,676500.0,0.0,3157,2023-07-12 22:45:00+08:00,2023-07-12 23:00:00+08:00
SHFE.cu2403,900s,67800.0,67800.0,67800.0,67800.0,1,339000.0,0.0,3158,2023-07-12 23:00:00+08:00,2023-07-12 23:15:00+08:00
