symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2311,900s,66920.0,66940.0,66900.0,66900.0,6,2007650.0,0.0,21772,2023-07-07 00:00:00+08:00,2023-07-07 00:15:00+08:00
SHFE.cu2311,900s,66880.0,66890.0,66870.0,66890.0,7,2340800.0,0.0,21768,2023-07-07 00:15:00+08:00,2023-07-07 00:30:00+08:00
SHFE.cu2311,900s,66900.0,66900.0,66890.0,66890.0,4,1337900.0,0.0,21770,2023-07-07 00:30:00+08:00,2023-07-07 00:45:00+08:00
SHFE.cu2311,900s,66900.0,66950.0,66890.0,66940.0,22,7360950.0,0.0,21766,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2311,900s,66960.0,67040.0,66950.0,66980.0,53,17752300.0,0.0,21784,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2311,900s,67010.0,67020.0,66930.0,66970.0,37,12388050.0,0.0,21791,2023-07-07 09:15:00+08:00,2023-07-07 09:30:00+08:00
SHFE.cu2311,900s,66970.0,67060.0,66970.0,67030.0,30,10053350.0,0.0,21798,2023-07-07 09:30:00+08:00,2023-07-07 09:45:00+08:00
SHFE.cu2311,900s,67020.0,67020.0,66970.0,67000.0,21,7034950.0,0.0,21796,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2311,900s,66990.0,67000.0,66940.0,66940.0,58,19422850.0,0.0,21791,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2311,900s,66970.0,66990.0,66970.0,66970.0,27,9041700.0,0.0,21807,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2311,900s,66960.0,66960.0,66910.0,66930.0,51,17070050.0,0.0,21805,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2311,900s,66950.0,67000.0,66950.0,67000.0,60,20088250.0,0.0,21845,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2311,900s,66990.0,67000.0,66960.0,66960.0,84,28130500.0,0.0,21875,2023-07-07 11:15:00+08:00,2023-07-07 11:30:00+08:00
SHFE.cu2311,900s,67000.0,67110.0,67000.0,67060.0,92,30850450.0,0.0,21907,2023-07-07 13:30:00+08:00,2023-07-07 13:45:00+08:00
SHFE.cu2311,900s,67060.0,67060.0,66990.0,67020.0,90,30162250.0,0.0,21963,2023-07-07 13:45:00+08:00,2023-07-07 14:00:00+08:00
SHFE.cu2311,900s,67000.0,67010.0,66980.0,67000.0,22,7369350.0,0.0,21971,2023-07-07 14:00:00+08:00,2023-07-07 14:15:00+08:00
SHFE.cu2311,900s,67000.0,67040.0,66920.0,66920.0,39,13056400.0,0.0,21970,2023-07-07 14:15:00+08:00,2023-07-07 14:30:00+08:00
SHFE.cu2311,900s,66920.0,66970.0,66920.0,66960.0,45,15061000.0,0.0,21969,2023-07-07 14:30:00+08:00,2023-07-07 14:45:00+08:00
SHFE.cu2311,900s,66960.0,66970.0,66860.0,66910.0,146,48832800.0,0.0,21998,2023-07-07 14:45:00+08:00,2023-07-07 15:00:00+08:00
SHFE.cu2311,900s,66910.0,67140.0,66910.0,67080.0,174,58359050.0,0.0,22036,2023-07-07 21:00:00+08:00,2023-07-07 21:15:00+08:00
SHFE.cu2311,900s,67090.0,67090.0,66970.0,66970.0,46,15417400.0,0.0,22052,2023-07-07 21:15:00+08:00,2023-07-07 21:30:00+08:00
SHFE.cu2311,900s,66970.0,67110.0,66970.0,67060.0,102,34196600.0,0.0,22073,2023-07-07 21:30:00+08:00,2023-07-07 21:45:00+08:00
SHFE.cu2311,900s,67080.0,67200.0,67080.0,67150.0,115,38611050.0,0.0,22114,2023-07-07 21:45:00+08:00,2023-07-07 22:00:00+08:00
SHFE.cu2311,900s,67070.0,67130.0,67060.0,67130.0,45,15090850.0,0.0,22100,2023-07-07 22:00:00+08:00,2023-07-07 22:15:00+08:00
SHFE.cu2311,900s,67080.0,67160.0,67080.0,67160.0,33,11076950.0,0.0,22126,2023-07-07 22:15:00+08:00,2023-07-07 22:30:00+08:00
SHFE.cu2311,900s,67150.0,67250.0,67150.0,67190.0,353,118574900.0,0.0,22122,2023-07-07 22:30:00+08:00,2023-07-07 22:45:00+08:00
SHFE.cu2311,900s,67200.0,67210.0,67100.0,67150.0,62,20820100.0,0.0,22141,2023-07-07 22:45:00+08:00,2023-07-07 23:00:00+08:00
SHFE.cu2311,900s,67130.0,67160.0,67130.0,67150.0,9,3021350.0,0.0,22142,2023-07-07 23:00:00+08:00,2023-07-07 23:15:00+08:00
