symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2310,900s,67120.0,67150.0,67090.0,67090.0,24,8055150.0,0.0,43193,2023-07-07 00:00:00+08:00,2023-07-07 00:15:00+08:00
SHFE.cu2310,900s,67070.0,67090.0,67070.0,67070.0,11,3689200.0,0.0,43193,2023-07-07 00:15:00+08:00,2023-07-07 00:30:00+08:00
SHFE.cu2310,900s,67090.0,67090.0,67080.0,67080.0,4,1341650.0,0.0,43195,2023-07-07 00:30:00+08:00,2023-07-07 00:45:00+08:00
SHFE.cu2310,900s,67090.0,67150.0,67090.0,67110.0,63,21140500.0,0.0,43190,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2310,900s,67150.0,67240.0,67150.0,67190.0,229,76923150.0,0.0,43171,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2310,900s,67190.0,67210.0,67110.0,67150.0,173,58090650.0,0.0,43224,2023-07-07 09:15:00+08:00,2023-07-07 09:30:00+08:00
SHFE.cu2310,900s,67170.0,67280.0,67150.0,67220.0,308,103504400.0,0.0,43302,2023-07-07 09:30:00+08:00,2023-07-07 09:45:00+08:00
SHFE.cu2310,900s,67200.0,67210.0,67160.0,67180.0,296,99438200.0,0.0,43370,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2310,900s,67180.0,67180.0,67120.0,67140.0,198,66478200.0,0.0,43481,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2310,900s,67160.0,67190.0,67140.0,67150.0,193,64810000.0,0.0,43592,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2310,900s,67150.0,67160.0,67110.0,67150.0,164,55047650.0,0.0,43636,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2310,900s,67140.0,67220.0,67140.0,67210.0,348,116889150.0,0.0,43667,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2310,900s,67200.0,67200.0,67150.0,67170.0,101,33927900.0,0.0,43685,2023-07-07 11:15:00+08:00,2023-07-07 11:30:00+08:00
SHFE.cu2310,900s,67210.0,67310.0,67210.0,67250.0,496,166832500.0,0.0,43913,2023-07-07 13:30:00+08:00,2023-07-07 13:45:00+08:00
SHFE.cu2310,900s,67250.0,67250.0,67190.0,67220.0,364,122331750.0,0.0,43803,2023-07-07 13:45:00+08:00,2023-07-07 14:00:00+08:00
SHFE.cu2310,900s,67210.0,67210.0,67170.0,67200.0,107,35947000.0,0.0,43842,2023-07-07 14:00:00+08:00,2023-07-07 14:15:00+08:00
SHFE.cu2310,900s,67210.0,67250.0,67130.0,67130.0,287,96440400.0,0.0,43871,2023-07-07 14:15:00+08:00,2023-07-07 14:30:00+08:00
SHFE.cu2310,900s,67130.0,67180.0,67130.0,67170.0,205,68835650.0,0.0,43882,2023-07-07 14:30:00+08:00,2023-07-07 14:45:00+08:00
SHFE.cu2310,900s,67150.0,67180.0,67050.0,67070.0,488,163704300.0,0.0,43881,2023-07-07 14:45:00+08:00,2023-07-07 15:00:00+08:00
SHFE.cu2310,900s,67270.0,67330.0,67240.0,67330.0,972,326970850.0,0.0,44353,2023-07-07 21:00:00+08:00,2023-07-07 21:15:00+08:00
SHFE.cu2310,900s,67300.0,67300.0,67130.0,67160.0,182,61171300.0,0.0,44318,2023-07-07 21:15:00+08:00,2023-07-07 21:30:00+08:00
SHFE.cu2310,900s,67150.0,67300.0,67150.0,67280.0,358,120356950.0,0.0,44340,2023-07-07 21:30:00+08:00,2023-07-07 21:45:00+08:00
SHFE.cu2310,900s,67290.0,67410.0,67280.0,67320.0,347,116836100.0,0.0,44440,2023-07-07 21:45:00+08:00,2023-07-07 22:00:00+08:00
SHFE.cu2310,900s,67300.0,67320.0,67230.0,67300.0,129,43389500.0,0.0,44425,2023-07-07 22:00:00+08:00,2023-07-07 22:15:00+08:00
SHFE.cu2310,900s,67280.0,67350.0,67260.0,67350.0,129,43420350.0,0.0,44462,2023-07-07 22:15:00+08:00,2023-07-07 22:30:00+08:00
SHFE.cu2310,900s,67350.0,67440.0,67340.0,67380.0,398,134112100.0,0.0,44579,2023-07-07 22:30:00+08:00,2023-07-07 22:45:00+08:00
SHFE.cu2310,900s,67390.0,67400.0,67290.0,67340.0,130,43777950.0,0.0,44607,2023-07-07 22:45:00+08:00,2023-07-07 23:00:00+08:00
SHFE.cu2310,900s,67330.0,67360.0,67300.0,67340.0,28,9426900.0,0.0,44602,2023-07-07 23:00:00+08:00,2023-07-07 23:15:00+08:00
SHFE.cu2310,900s,67330.0,67380.0,67320.0,67380.0,107,36039650.0,0.0,44638,2023-07-07 23:15:00+08:00,2023-07-07 23:30:00+08:00
SHFE.cu2310,900s,67390.0,67400.0,67360.0,67400.0,71,23922550.0,0.0,44658,2023-07-07 23:30:00+08:00,2023-07-07 23:45:00+08:00
