symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHFE.cu2309,900s,67370.0,67410.0,67340.0,67340.0,132,44467450.0,0.0,129585,2023-07-07 00:00:00+08:00,2023-07-07 00:15:00+08:00
SHFE.cu2309,900s,67330.0,67350.0,67310.0,67340.0,82,27602700.0,0.0,129598,2023-07-07 00:15:00+08:00,2023-07-07 00:30:00+08:00
SHFE.cu2309,900s,67340.0,67350.0,67310.0,67350.0,45,15151500.0,0.0,129611,2023-07-07 00:30:00+08:00,2023-07-07 00:45:00+08:00
SHFE.cu2309,900s,67340.0,67390.0,67330.0,67370.0,156,52541250.0,0.0,129602,2023-07-07 00:45:00+08:00,2023-07-07 01:00:00+08:00
SHFE.cu2309,900s,67400.0,67500.0,67400.0,67440.0,878,296080450.0,0.0,129604,2023-07-07 09:00:00+08:00,2023-07-07 09:15:00+08:00
SHFE.cu2309,900s,67450.0,67470.0,67370.0,67420.0,1025,345411700.0,0.0,129658,2023-07-07 09:15:00+08:00,2023-07-07 09:30:00+08:00
SHFE.cu2309,900s,67430.0,67540.0,67420.0,67470.0,1097,370113700.0,0.0,129544,2023-07-07 09:30:00+08:00,2023-07-07 09:45:00+08:00
SHFE.cu2309,900s,67470.0,67470.0,67410.0,67450.0,765,257972950.0,0.0,129691,2023-07-07 09:45:00+08:00,2023-07-07 10:00:00+08:00
SHFE.cu2309,900s,67450.0,67450.0,67390.0,67430.0,524,176643300.0,0.0,129749,2023-07-07 10:00:00+08:00,2023-07-07 10:15:00+08:00
SHFE.cu2309,900s,67430.0,67460.0,67410.0,67420.0,497,167562400.0,0.0,129811,2023-07-07 10:30:00+08:00,2023-07-07 10:45:00+08:00
SHFE.cu2309,900s,67420.0,67440.0,67380.0,67410.0,429,144578000.0,0.0,129891,2023-07-07 10:45:00+08:00,2023-07-07 11:00:00+08:00
SHFE.cu2309,900s,67420.0,67500.0,67410.0,67490.0,903,304574150.0,0.0,130133,2023-07-07 11:00:00+08:00,2023-07-07 11:15:00+08:00
SHFE.cu2309,900s,67490.0,67490.0,67430.0,67450.0,432,145702650.0,0.0,130211,2023-07-07 11:15:00+08:00,2023-07-07 11:30:00+08:00
