,datetime,contractmonth,open,high,low,close,volume
0,2023-07-07 00:45:00+08:00,2401,66690.0,66690.0,66690.0,66690.0,1
1,2023-07-07 09:00:00+08:00,2401,66670.0,66720.0,66670.0,66720.0,6
2,2023-07-07 09:45:00+08:00,2401,66730.0,66730.0,66730.0,66730.0,3
3,2023-07-07 10:00:00+08:00,2401,66700.0,66700.0,66700.0,66700.0,5
4,2023-07-07 10:45:00+08:00,2401,66680.0,66680.0,66680.0,66680.0,5
5,2023-07-07 11:00:00+08:00,2401,66710.0,66760.0,66690.0,66760.0,7
6,2023-07-07 11:15:00+08:00,2401,66750.0,66760.0,66730.0,66730.0,4
7,2023-07-07 13:30:00+08:00,2401,66820.0,66860.0,66800.0,66800.0,40
8,2023-07-07 13:45:00+08:00,2401,66770.0,66780.0,66750.0,66750.0,6
9,2023-07-07 14:30:00+08:00,2401,66750.0,66750.0,66700.0,66700.0,4
10,2023-07-07 14:45:00+08:00,2401,66710.0,66710.0,66600.0,66600.0,11
11,2023-07-07 21:15:00+08:00,2401,66760.0,66800.0,66740.0,66740.0,9
12,2023-07-07 21:30:00+08:00,2401,66740.0,66870.0,66740.0,66830.0,14
13,2023-07-07 21:45:00+08:00,2401,66840.0,66910.0,66830.0,66870.0,10
14,2023-07-07 22:00:00+08:00,2401,66800.0,66890.0,66800.0,66890.0,2
15,2023-07-07 22:15:00+08:00,2401,66930.0,66930.0,66930.0,66930.0,1
16,2023-07-07 22:30:00+08:00,2401,66930.0,66980.0,66930.0,66950.0,10
17,2023-07-07 23:00:00+08:00,2401,66900.0,66900.0,66900.0,66900.0,1
18,2023-07-08 00:15:00+08:00,2401,66900.0,66900.0,66900.0,66900.0,4
19,2023-07-08 00:45:00+08:00,2401,66950.0,66950.0,66950.0,66950.0,1
20,2023-07-10 09:00:00+08:00,2401,66910.0,67000.0,66910.0,66960.0,13
21,2023-07-10 09:15:00+08:00,2401,67010.0,67100.0,67010.0,67080.0,32
22,2023-07-10 09:30:00+08:00,2401,67110.0,67130.0,66960.0,66960.0,17
23,2023-07-10 09:45:00+08:00,2401,66930.0,66940.0,66930.0,66940.0,2
24,2023-07-10 10:30:00+08:00,2401,66880.0,66890.0,66860.0,66880.0,20
25,2023-07-10 10:45:00+08:00,2401,66880.0,66880.0,66880.0,66880.0,15
26,2023-07-10 11:00:00+08:00,2401,66880.0,66910.0,66880.0,66880.0,3
27,2023-07-10 13:30:00+08:00,2401,66800.0,66840.0,66670.0,66670.0,15
28,2023-07-10 13:45:00+08:00,2401,66720.0,66720.0,66680.0,66700.0,7
29,2023-07-10 14:00:00+08:00,2401,66720.0,66740.0,66720.0,66740.0,4
30,2023-07-10 14:45:00+08:00,2401,66800.0,66810.0,66720.0,66720.0,24
31,2023-07-10 21:00:00+08:00,2401,66720.0,66900.0,66720.0,66890.0,324
32,2023-07-10 21:15:00+08:00,2401,66910.0,66990.0,66890.0,66990.0,21
33,2023-07-10 21:30:00+08:00,2401,67000.0,67000.0,67000.0,67000.0,3
34,2023-07-10 21:45:00+08:00,2401,67020.0,67040.0,67020.0,67040.0,5
35,2023-07-10 22:00:00+08:00,2401,66980.0,67050.0,66980.0,67020.0,8
36,2023-07-10 22:15:00+08:00,2401,66960.0,67000.0,66960.0,67000.0,3
37,2023-07-10 22:30:00+08:00,2401,66930.0,66960.0,66930.0,66960.0,3
38,2023-07-10 23:15:00+08:00,2401,66980.0,67000.0,66980.0,67000.0,2
39,2023-07-10 23:45:00+08:00,2401,67030.0,67050.0,67030.0,67050.0,6
40,2023-07-11 00:45:00+08:00,2401,67060.0,67070.0,67060.0,67070.0,3
41,2023-07-11 09:00:00+08:00,2401,67180.0,67300.0,67180.0,67190.0,26
42,2023-07-11 09:15:00+08:00,2401,67230.0,67260.0,67210.0,67250.0,27
43,2023-07-11 09:30:00+08:00,2401,67230.0,67250.0,67230.0,67250.0,7
44,2023-07-11 09:45:00+08:00,2401,67240.0,67240.0,67210.0,67230.0,5
45,2023-07-11 10:00:00+08:00,2401,67220.0,67230.0,67220.0,67230.0,17
46,2023-07-11 10:30:00+08:00,2401,67210.0,67250.0,67180.0,67210.0,55
47,2023-07-11 10:45:00+08:00,2401,67180.0,67180.0,67110.0,67160.0,50
48,2023-07-11 11:00:00+08:00,2401,67200.0,67220.0,67200.0,67220.0,12
49,2023-07-11 13:30:00+08:00,2401,67310.0,67340.0,67250.0,67320.0,15
50,2023-07-11 13:45:00+08:00,2401,67280.0,67290.0,67260.0,67260.0,7
51,2023-07-11 14:00:00+08:00,2401,67270.0,67350.0,67270.0,67350.0,12
52,2023-07-11 14:15:00+08:00,2401,67350.0,67360.0,67320.0,67360.0,7
53,2023-07-11 14:30:00+08:00,2401,67370.0,67370.0,67360.0,67370.0,16
54,2023-07-11 14:45:00+08:00,2401,67330.0,67390.0,67320.0,67370.0,31
55,2023-07-11 21:00:00+08:00,2401,67090.0,67090.0,66970.0,66980.0,35
56,2023-07-11 21:15:00+08:00,2401,66960.0,66970.0,66920.0,66920.0,10
57,2023-07-11 21:30:00+08:00,2401,66980.0,66990.0,66920.0,66920.0,8
58,2023-07-11 21:45:00+08:00,2401,66940.0,66940.0,66910.0,66910.0,8
59,2023-07-11 22:00:00+08:00,2401,66930.0,66930.0,66910.0,66910.0,7
60,2023-07-11 22:15:00+08:00,2401,66920.0,66920.0,66900.0,66910.0,9
61,2023-07-11 22:30:00+08:00,2401,66860.0,66870.0,66740.0,66770.0,80
62,2023-07-11 22:45:00+08:00,2401,66810.0,66820.0,66790.0,66820.0,43
63,2023-07-11 23:00:00+08:00,2401,66840.0,66840.0,66800.0,66810.0,7
64,2023-07-11 23:15:00+08:00,2401,66840.0,66840.0,66840.0,66840.0,1
65,2023-07-11 23:30:00+08:00,2401,66830.0,66860.0,66820.0,66860.0,5
66,2023-07-11 23:45:00+08:00,2401,66870.0,66870.0,66870.0,66870.0,1
67,2023-07-12 00:00:00+08:00,2401,66820.0,66820.0,66820.0,66820.0,2
68,2023-07-12 00:15:00+08:00,2401,66830.0,66850.0,66830.0,66850.0,2
69,2023-07-12 00:45:00+08:00,2401,66850.0,66910.0,66850.0,66850.0,12
70,2023-07-12 09:00:00+08:00,2401,66920.0,66980.0,66890.0,66890.0,44
71,2023-07-12 09:15:00+08:00,2401,66900.0,66900.0,66880.0,66880.0,18
72,2023-07-12 09:30:00+08:00,2401,66840.0,66880.0,66810.0,66870.0,8
73,2023-07-12 09:45:00+08:00,2401,66890.0,66920.0,66870.0,66900.0,15
74,2023-07-12 10:00:00+08:00,2401,66920.0,66920.0,66880.0,66880.0,3
75,2023-07-12 10:30:00+08:00,2401,66940.0,66980.0,66940.0,66970.0,15
76,2023-07-12 10:45:00+08:00,2401,66980.0,67000.0,66980.0,66980.0,8
77,2023-07-12 11:00:00+08:00,2401,67000.0,67010.0,67000.0,67010.0,2
